source,target,context
Access denied,Accès refusé,
Connection OK — bucket '{0}' is accessible,Connexion OK — bucket « {0} » accessible,
CORS configuration applied successfully,Configuration CORS appliquée avec succès,
Migration started in the background,Migration démarrée en arrière-plan,
Not started,Non démarrée,
0/{0} files migrated,0/{0} fichiers migrés,
{0}/{1} files migrated ({2} errors),{0}/{1} fichiers migrés ({2} erreurs),
Completed: {0} succeeded, {1} errors out of {2},Terminée : {0} succès, {1} erreurs sur {2},
Generate share link,Générer un lien de partage,
Platine,Platine,
Private share link,Lien de partage privé,
Expiry duration,Durée d'expiration,
15 minutes,15 minutes,
1 hour,1 heure,
24 hours,24 heures,
7 days,7 jours,
Generate,Générer,
Link,Lien,
Expires in,Expire dans,
Share link,Lien de partage,
Copy,Copier,
Link copied!,Lien copié !,
The CORS Configuration field is empty. Load the default configuration?,Le champ CORS Configuration est vide. Charger la configuration par défaut ?,
Migrate all local files to S3?,Migrer tous les fichiers locaux vers S3 ?,
Testing S3 connection...,Test de la connexion S3 en cours...,
Connection Test,Test de connexion,
No response,Aucune réponse,
Apply CORS,Appliquer le CORS,
Applying CORS configuration...,Application de la configuration CORS en cours...,
Load Default CORS,Charger le CORS par défaut,
Start Migration,Démarrer la migration,
Starting migration...,Démarrage de la migration...,
Migration started.,Migration démarrée.,
Migration,Migration,
Rollback,Rollback,
Rollback Status,Statut du rollback,
Rollback started in the background,Rollback démarré en arrière-plan,
0/{0} files restored,0/{0} fichiers restaurés,
{0}/{1} files restored ({2} errors),{0}/{1} fichiers restaurés ({2} erreurs),
Download all S3 files back to local storage? This will restore local file URLs.,Télécharger tous les fichiers S3 en local ? Cela restaurera les chemins locaux.,
Starting rollback...,Démarrage du rollback...,
Rollback started.,Rollback démarré.,
Start Rollback,Démarrer le rollback,
Storage,Stockage,
Migrate to S3,Migrer vers S3,
Rollback to Local,Restaurer en local,
Load Default,Charger par défaut,
Apply,Appliquer,
Sync from Bucket,Synchroniser depuis le bucket,
Fetching CORS configuration from bucket...,Récupération de la configuration CORS depuis le bucket...,
Sync CORS,Synchroniser le CORS,
Could not start migration.,Impossible de démarrer la migration.,
Could not start rollback.,Impossible de démarrer le rollback.,
Migration complete.,Migration terminée.,
Rollback complete.,Rollback terminé.,
Disable S3 Integration,Désactiver l'intégration S3,
Run Rollback first,Lancer le rollback d'abord,
Disable anyway,Désactiver quand même,
Start a Rollback then disable the integration once it completes.,Lancez un rollback puis désactivez l'intégration une fois terminé.,
Rollback started. The integration will remain active until it completes.,Rollback démarré. L'intégration restera active jusqu'à la fin du rollback.,
Enable S3 Integration,Activer l'intégration S3,
Connection,Connexion,
Credentials,Identifiants,
Endpoints,Points d'accès,
Storage,Stockage,
Transfer,Transfert,
Upload,Upload,
Download,Téléchargement,
CORS,CORS,
Migration,Migration,
Access Key,Clé d'accès,
Secret Key,Clé secrète,
Region,Région,
Endpoint URL,URL de l'endpoint,
CDN URL,URL CDN,
Bucket Name,Nom du bucket,
Enable Presigned Upload (direct browser → S3),Activer l'upload pré-signé (navigateur → S3 direct),
Presigned URL Expiry (minutes),Expiration des URLs pré-signées (minutes),
CORS Configuration,Configuration CORS,
Migration Status,Statut de la migration,
Connection,Connexion,
Upload,Upload,
Logs,Journaux,
Log Retention (days),Rétention des journaux (jours),
Log Downloads,Journaliser les téléchargements,
Transfer logs,Journaux de transfert,
View Logs,Voir les journaux,
Clear All Logs,Effacer tous les journaux,
Permanently delete all Platine Log entries?,Supprimer définitivement tous les journaux Platine ?,
Deleting logs...,Suppression des journaux...,
Logs cleared.,Journaux effacés.,
Event Type,Type d'événement,
Delete,Suppression,
Status,Statut,
File Name,Nom du fichier,
S3 Key,Clé S3,
Private,Privé,
Duration (ms),Durée (ms),
Settings,Paramètres,
Actions,Actions,
